P1,Meus cachos soltos ,M1
P2,Blindagem,M1
P3,Queratina Brasilera ,M1
P4, Broto de Bambu,M1
P5,Infusión de Colágeno ,M1
P6,"Cacheado de Diva 
",M1
P7,Gelatina Poderosa ,M1
P8,Doctor Ricino,M1
P9,Cinema ,M1
P10, Meus Cachos ,M1
P11, Meus Cachinhos ,M1
P12,"Repositor de Masa 
",M1
P13,Óleo de Coco,M1
P14,Óleo de Argán,M1
P15,Super Babosao,M1
P16,Frutos Citricos,M1
P17,Super Food,M1
P18,ALHELI DEL BOSQUE ,M2
P19,NUTRITIVO GRASO ,M2
P20,NUTRITIVO  SECO ,M2
P21,RECONSTRUCTIVO  ,M2
P22,MELENA IMPARABLE ,M2
P23,REPARADOR DE PUNTAS ,M2
P24,REPARADORA Y REGENERADORA ,M2
P25,HIDRATANTE PARA RIZOS ,M2
P26,COTEL FRUTAS ,M2
P27,Gel Tight Curl Afro Love,M3
P28,Afro Love ,M3
P29, Soft Curl Afro Love ,M3
P30,Nourishing ,M3
P31, Menta y Eucalipto ,M3
P32,Leave-in Afro Love ,M3
P33,Co-Wash Afro Love ,M3
